"RegistrationMark",Manufacturer,Model,Serial Number,Registered Owner,Date of Registration
VP-CWJ,Embraer S.A.,"EMB-135BJ (Legacy 650)",14501152,Sogecoa Cayman Islands Ltd.,28/Jun/12
VP-CWL,Textron Aviation Inc.,Model 525C,525C0309,Phenix Jet Cayman SEZC,21/Jul/21
VP-CWM,Textron Aviation Inc.,525C,525C0252,Phenix Jet Cayman SEZC,29/Jul/22
VP-CWW,"Gulfstream Aircraft Corporation",GVI (G650ER),6328,GOLD ONE INVESTMENTS LIMITED,3/Jun/21
VP-CWY,Bombardier,"CL-600-2B19 (Series 100)",8111,Aerowin air Ltd,27/Sep/21
VP-CXA,Bombardier,DHC-6-300,602,Cayman Airways Express,29/May/06
VP-CXB,Bombardier,DHC-6-300,563,Cayman Airways Express,22/Jun/06
VP-CXC,Airbus Industrie,A320-214,2171,ILFC Cayman Limited,29/May/14
VP-CXD,Airbus Industrie,A320-214,2182,ILFC Cayman Limited,22/Jul/14
VP-CXE,Airbus Industrie,A320-214,2199,ILFC Cayman Limited,14/Aug/14
VP-CXF,Airbus Industrie,A320-214,1942,Genesis Funding Atlantic 1 Limited,20/Dec/13
VP-CXG,Airbus Industrie,A320-214,1965,Roselawn Leasing Limited,20/Jan/14
VP-CXH,Airbus Industrie,A320-214,3256,TBOLT III CAYMAN AIRCRAFT LIMITED,12/Dec/19
VP-CXI,Airbus Industrie,A320-214,3218,TBOLT II Cayman Aircraft Limited,31/Aug/18
VP-CXL,Airbus Industrie,A320-214,4735,Start Ireland Leasing 2 Limited,26/Sep/18
VP-CXM,Airbus Industrie,A320-214,2776,Blackbird Capital 1 Cayman Limited,21/Nov/14
VP-CXR,Airbus Industrie,A320-214,3894,"CIT Cayman Sandy Keys Leasing, Ltd.",12/May/09
VP-CXS,Airbus Industrie,A320-214,3787,"CIT Cayman Sandy Keys Leasing, Ltd.",26/Feb/09
VP-CXT,Airbus Industrie,A320-214,3817,"CIT Cayman Sandy Keys Leasing, Ltd.",12/Mar/09
VP-CYA,Bombardier,"BD-700-1A10 (Global 6000)",9628,Superb Sky Holdings Limited,23/May/18
VP-CYB,Airbus Industrie,A318-112,5545,Cathay Fortune Cayman Company Limited,9/Apr/15
VP-CYD,Airbus Industrie,A320-214,4699,START II Ireland Leasing 2 Limited,23/Sep/19
VP-CYE,Airbus Industrie,A319-112,1866,WilmingtonTrust SP Services (Dublin) Limited,20/Sep/16
VP-CYF,Airbus Industrie,A319-112,1872,Wilmington Trust SP Services (Dublin) Limited,17/Jan/17
VP-CYJ,Bombardier Inc.,"BD-700-1A11 (Global 5000)",9216,Gama Aviation (Cayman) SEZC,3/Feb/21
VP-CYL,"Gulfstream Aircraft Corporation",GVI (G650ER),6208,Action Chain International Limited,29/Oct/21
VP-CYP,Bombardier,"BD-700-2A12 (Global 7500)",70110,GLOBAL AVIONICS LIMITED,13/Jun/22
VP-CYT,Bombardier,"BD-700-1A10 (Global Express XRS)",9361,Gama Aviation (Cayman) SEZC,12/May/21
VP-CYW,Airbus Industrie,A319-115,4228,BLISS SURPLUS LIMITED,11/Sep/19
VP-CZA,"Gulfstream Aircraft Corporation",GVI (G650ER),6016,Gryphon One,18/Apr/13
VP-CZB,"Gulfstream Aerospace Corporation",GVI (G650ER),6129,Gryphon Two,13/Jul/15
VP-CZC,"Gulfstream Aircraft Corporation",GVI (G650ER),6229,Otto Holdings,9/Feb/17
VP-CZJ,Bombardier,BD-700-1A10,9705,Elegant Ease International Limited,8/Mar/22
VP-CZL,Bombardier Inc.,BD-700-1A10,9540,HCG Air Holding Limited,3/Jan/14
VP-CZM,"Gulfstream Aircraft Corporation",GVI (G650ER),6411,Brilliant Sky Blue Limited,20/Feb/20
VP-CZZ,"Gulfstream Aircraft Corporation",GVI (G650ER),6116,Champion One Developments Limited,11/Oct/17
