Aircraft_name;Legal_Basis;Aircraft_model_category;Minimum_Crew;Maximum_Passengers;MTOM_kg;ELA1_flag;ELA2_flag;Complex_aircraft;Number_of_engines;Count_of_Propellers;ICAO;Aircraft_Construction_Year;Initial_Registration_Date;Import_Previous_country;Engine_1_Manufacturer;Engine_1;Engine_2_Manufacturer;Engine_2;Engine_3_Manufacturer;Engine_3;Engine_4_Manufacturer;Engine_4;
"Renegade II";"Annex I";"Ultralights";"1";"1";"385,00";"False";"False";"False";"1";"1";"ULAC";"1989";"13.07.1993";"";"Bombardier-Rotax GmbH";"Rotax 503";"";"";"";"";"";"";
"Renegade II";"Annex I";"Ultralights";"1";"1";"385,00";"False";"False";"False";"1";"1";"ULAC";"1991";"26.02.1993";"";"Bombardier-Rotax GmbH";"Rotax 503";"";"";"";"";"";"";
"Renegade II";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"2014";"08.09.2014";"";"Volkswagen";"VW 2276 Mod.";"";"";"";"";"";"";
"Renegade II Mod";"Annex I";"Ultralights";"1";"1";"430,00";"False";"False";"False";"1";"1";"ULAC";"1989";"12.06.2001";"";"Experimental";"Volkswagen VW 2000";"";"";"";"";"";"";
"Renegade II Mod";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1989";"23.07.1996";"";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"Renegade II Mod.";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1991";"20.09.1995";"";"Hirth Motoren Kg";"Hirth F30";"";"";"";"";"";"";
"Renegade Spirit";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1989";"24.07.2006";"";"Bombardier-Rotax GmbH";"Rotax 582 UL";"";"";"";"";"";"";
"Renegade Spirit";"Annex I";"Ultralights";"1";"1";"385,00";"False";"False";"False";"1";"1";"ULAC";"1990";"19.12.1997";"";"Bombardier-Rotax GmbH";"Rotax 532";"";"";"";"";"";"";
"Renegade Spirit";"Annex I";"Ultralights";"1";"1";"385,00";"False";"False";"False";"1";"1";"ULAC";"1990";"21.07.1993";"";"HKS Co. Ltd";"HKS 700E";"";"";"";"";"";"";
"Renegade Spirit";"Annex I";"Ultralights";"1";"1";"350,00";"False";"False";"False";"1";"1";"ULAC";"1992";"23.12.2009";"";"Bombardier-Rotax GmbH";"Rotax 912 UL";"";"";"";"";"";"";
