#,REG,MAKE,MODEL,SERIES,MSN,OPERATOR NAME,OPERATOR ADDRESS
53,DQ-FJS,VIKING AIR LIMITED CANADA,DHC- 6 TWIN OTTER,-400,956,FIJI AIRLINES LTD T/A FIJI LINK,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
54,DQ-FJT,AIRBUS,A330,-200,1394,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
55,DQ-FJU,AIRBUS,A330,-200,1416,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
56,DQ-FJV,AIRBUS,A330,-200,1465,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
57,DQ-FJZ,AVIONS DE TRANSPORT REGINAL G.I.E,ATR 72,-600,1146,FIJI AIRLINES LTD T/A FIJI LINK,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
58,DQ-FJX,AVIONS DE TRANSPORT REGINAL G.I.E,ATR 72,-600,1221,FIJI AIRLINES LTD T/A FIJI LINK,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
59,DQ-FJY,AVIONS DE TRANSPORT REGINAL G.I.E,ATR 42-500 “600 VERSION”,-500,1014,FIJI AIRLINES LTD T/A FIJI LINK,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
,DQ-FTA,CESSNA LTD,CESSNA 172M,100,17267194,SUNFLOWER AVIATION LIMITED,P.O. BOX 9452
60,,,,,,,"LONDON AVENUE, CAAF COMPOUND, NADI, FIJI"
,,,,,,,
61,DQ-FTB,THE CESSNA AIRCRAFT COMPANY,CESSNA 152,100,52-81003,SUNAIR HOLDINGS LTD,"P.O. BOX 9452, NADI AIRPORT, FIJI"
62,DQ-FJW,AIRBUS,A330,-300,1692,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
