MMSI,IMO,Status,Name,Callsign,Type,Build Date,Gross Tonnage,Flag,Owner IMO Number,ITU VIN
205548000,,In Service,FELICITY,ONFV,Oil Tanker,,,Belgium,,
205549000,,In Service,MINERAL SHOUGANG INT,ONFW,Bulk Carrier,,,Belgium,,
205550000,8993459,In Service,MARRETJE AALTJE,OPFZ,Fishing,2003,199,Belgium,,
205551000,,Not Found,EXQUISITE,ONFX,LNG Tanker,,,,,
205552000,9389643,In Service,EXPEDIENT,ONFY,FPSO,2010-04,"100,885",Belgium,6075563,
205553000,9444649,In Service,EXEMPLAR,ONFZ,FPSO,2010-09,"100,361",Belgium,6072175,
205554000,9416848,In Service,MINERAL NINGBO,ONGA,Bulk Carrier,2009-07,"91,373",Belgium,1955404,
205555000,9531038,In Service,DHAMRA,ORPM,Dredger,2009-11,397,Belgium,0177815,
205557000,9501954,In Service,ARTEVELDE,ORPH,Dredger,2009-11,"5,005",Belgium,6267752,
205558000,9537513,In Service,UNION WARRIOR,ORPI,Anchor Handling Tug Supply	,2009-11,810,Belgium,5111927,
205559000,9416733,In Service,FRATERNITY,ONGB,Oil Tanker,2009-11,"81,482",Belgium,1950845,
205561000,,Not Found,ZARECHENSK,ONGC,,,,,,
205563000,,Not Found,CHE,ONGD,,,,,,
205564000,,Not Found,COEUR DE BOIS,OS5640,,,,,,
205565000,9454888,In Service,VB TIGER,ORPO,Tug,2009-10,484,Belgium,5912701,
205566000,,Not Found,UNION FIGHTER,ORPP,Supply,,,,,
205567000,,In Service,LOWLANDS OPAL,ONGH,N/A,,,Belgium,,
205568000,,In Service,VYRITSA,ONGJ,Cargo,,,Belgium,,
205569000,9519767,In Service,MINERAL NEW YORK,ONGI,Bulk Carrier,2010-07,"91,971",Belgium,1955404,
205570000,,In Service,BELISAIRE,ONGK,N/A,,,Belgium,,
205571000,,In Service,CHASSIRON,ONGL,Tanker,,,Belgium,,
205572000,,In Service,ST MAUD,ONGM,,,,Belgium,,
205575000,,Not Found,UNION BOXER,ORPS,Tug,,,,,
205578000,,In Service,ST VANESSA,ONGO,,,,Belgium,,
205580000,9519779,In Service,MINERAL STONEHENGE,ONGR,Bulk Carrier,2010-12,"91,971",Belgium,0177541,
